2025-12-30T21:51:53.381348473Z I1230 21:51:50.475938       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:51:53.381360396Z I1230 21:51:50.475954       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:52:01.435994110Z I1230 21:52:01.435921       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:52:01.436021481Z I1230 21:52:01.435937       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:52:06.596009705Z I1230 21:52:06.595933       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:52:06.596036706Z I1230 21:52:06.595947       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:52:15.225924417Z I1230 21:52:15.225823       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:52:15.225953713Z I1230 21:52:15.225847       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:52:24.436512303Z I1230 21:52:24.436316       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:52:24.436581454Z I1230 21:52:24.436336       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:52:33.383121900Z I1230 21:52:33.383042       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:52:33.383139293Z I1230 21:52:33.383059       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:52:41.622694092Z I1230 21:52:41.622440       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:52:41.622754427Z I1230 21:52:41.622486       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:52:52.106718463Z I1230 21:52:52.106583       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:52:52.106755914Z I1230 21:52:52.106605       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:53:00.796921854Z I1230 21:53:00.796511       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:53:00.796956990Z I1230 21:53:00.796525       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:53:07.731656626Z I1230 21:53:07.731540       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:53:07.731685972Z I1230 21:53:07.731561       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:53:13.867360035Z I1230 21:53:13.867282       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:53:13.867406482Z I1230 21:53:13.867298       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:53:22.137937302Z I1230 21:53:22.137723       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:53:22.137976297Z I1230 21:53:22.137744       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:53:29.760516981Z I1230 21:53:29.760385       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:53:29.760554943Z I1230 21:53:29.760405       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:53:39.413391050Z I1230 21:53:39.413277       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:53:39.413423872Z I1230 21:53:39.413295       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T21:53:45.067710506Z I1230 21:53:45.067575       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T21:53:45.067745572Z I1230 21:53:45.067598       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
